Active,Not Applicable,ML81561441,11029 Eastbrook Avenue,3399888,18,4,4,3,1,3952,+4.70448000000000E+004,Los Altos,30,-1.22104468300000E+002,+3.73489329000000E+001
Active,Not Applicable,ML81533050,15231 Quito Road,3398888,110,5,6,5,0,7532,+4.65830000000000E+004,Saratoga,76,-1.21997638000000E+002,+3.72464380000000E+001
Active,Not Applicable,ML81562297,13109 Byrd Lane,3395000,12,3,4,2,1,2334,+5.95334500000000E+004,Los Altos Hills,56,-1.22155394000000E+002,+3.73751570000000E+001
Contingent,Not Applicable,ML81339788,9548 ESTATES Drive,3388000,732,8,6,6,2,7300,+4.85000000000000E+000,Gilroy,28,-1.21536165000000E+002,+3.70559790000000E+001
Active,Not Applicable,ML81562334,820 Hamilton Avenue,3380000,12,2,4,2,0,1952,+5.93723000000000E+003,Palo Alto,96,-1.22153764000000E+002,+3.74513790000000E+001
Active,Not Applicable,ML81550153,159 Kellogg Avenue,3375000,27,2,3,2,0,1271,+7.50000000000000E+003,Palo Alto,95,-1.22152208000000E+002,+3.74374770000000E+001
Active,Not Applicable,ML81564129,21030 Greenleaf Drive,3368000,0,5,5,4,1,3738,+9.29000000000000E+003,Cupertino,0,-1.22042239900000E+002,+3.73305318000000E+001
Active,Not Applicable,ML81533879,16430 Mireval Road,3350000,98,4,4,4,0,4803,+3.48480000000000E+004,Los Gatos,25,-1.21954070000000E+002,+3.72135890000000E+001
Pending,Not Applicable,ML81549348,18021 Arlee Drive,3350000,10,4,4,3,1,3016,+1.27690000000000E+004,Monte Sereno,2,-1.21986119000000E+002,+3.72339660000000E+001
Contingent,Not Applicable,ML81516391,16354 Aztec Ridge Drive,3300000,151,3,4,3,0,4379,+4.09600000000000E+004,Los Gatos,37,-1.21959427000000E+002,+3.72084789000000E+001
Pending,Not Applicable,ML81548802,21871 Dolores Avenue,3300000,19,5,5,4,1,3884,+9.68774000000000E+003,Cupertino,6,-1.22057080000000E+002,+3.73168409000000E+001
Active,Not Applicable,ML81549368,3644 Ramona Circle,3298000,33,4,5,3,1,2402,+6.36200000000000E+003,Palo Alto,0,-1.22120580800000E+002,+3.74179892000000E+001
Active,Not Applicable,ML81562071,560 Miramonte Avenue,3298000,13,3,4,2,1,3000,+8.00000000000000E+003,Palo Alto,84,-1.22149890000000E+002,+3.74334480000000E+001
Active,Not Applicable,ML81563249,1567 Siesta Drive,3250000,6,3,4,3,0,2495,+1.16784400000000E+004,Los Altos,62,-1.22074442000000E+002,+3.73530860000000E+001
Contingent,Not Applicable,ML81550742,20561 Montalvo Lane,3238000,9,6,5,5,1,3859,+4.50628200000000E+004,Saratoga,64,-1.22031756000000E+002,+3.72468140000000E+001
Active,Not Applicable,ML81562935,7121 Echo Loop,3200000,7,5,4,4,1,4490,+2.13444000000000E+004,San Jose,10,-1.21860474000000E+002,+3.72034090000000E+001
Pending,Not Applicable,ML81561194,2526 Webster Street,3198000,8,3,4,2,1,2479,+9.30400000000000E+003,Palo Alto,69,-1.22132801000000E+002,+3.74323960000000E+001
Active,Not Applicable,ML81563174,700 Chimalus Drive,3198000,6,4,4,3,1,2676,+7.41300000000000E+003,Palo Alto,1,-1.22137904000000E+002,+3.74170540000000E+001
Active,Not Applicable,ML81563297,540 Valencia Drive,3198000,6,4,5,3,1,3109,+9.90000000000000E+003,Los Altos,62,-1.22110796000000E+002,+3.73912350000000E+001
Pending,Not Applicable,ML81547772,1170 Hamilton Avenue,3195000,10,2,3,2,0,2289,+8.18700000000000E+003,Palo Alto,81,-1.22147994000000E+002,+3.74540250000000E+001
Pending,New Subdivision,ML81562786,1811 Dry Creek Road,3195000,7,5,5,4,1,4570,+2.40920000000000E+004,San Jose,0,-1.21921337000000E+002,+3.72842960000000E+001
Active,Not Applicable,ML81564109,26636 Altamont Road,3188000,1,3,4,2,1,2933,+4.35600000000000E+004,Los Altos Hills,44,-1.22152995000000E+002,+3.73610300000000E+001
Active,Not Applicable,ML81563003,17881 Andrews Street,3175000,7,4,5,4,0,3056,+8.01300000000000E+003,Monte Sereno,0,-1.21983350000000E+002,+3.72335750000000E+001
